Lattice Size (NxN),Total Steps,Steps Used in Analysis,Burnin Steps,Interaction Strength,Applied Mag Field,Spin Prop
20,100000,50000,25000,1.0,0.0,0.1

Temperature,K,Spatial Spin Correlation
1.0,1,0.0
1.0,2,0.0
1.0,3,0.0
1.0,4,0.0
1.0,5,0.0
1.0,6,0.0
1.0,7,0.0
1.0,8,0.0
1.0,9,0.0
1.05,1,0.0
1.05,2,0.0
1.05,3,0.0
1.05,4,0.0
1.05,5,0.0
1.05,6,0.0
1.05,7,0.0
1.05,8,0.0
1.05,9,0.0
1.05,1,0.0
1.05,2,0.0
1.05,3,0.0
1.05,4,0.0
1.05,5,0.0
1.05,6,0.0
1.05,7,0.0
1.05,8,0.0
1.05,9,0.0
1.1,1,0.0
1.1,2,0.0
1.1,3,0.0
1.1,4,0.0
1.1,5,0.0
1.1,6,0.0
1.1,7,0.0
1.1,8,0.0
1.1,9,0.0
1.1,1,0.0
1.1,2,0.0
1.1,3,0.0
1.1,4,0.0
1.1,5,0.0
1.1,6,0.0
1.1,7,0.0
1.1,8,0.0
1.1,9,0.0
1.1,1,-2.7631591365206987e-05
1.1,2,-2.7631595003185794e-05
1.1,3,-2.7631595003185794e-05
1.1,4,-2.7631595003185794e-05
1.1,5,-2.7631595003185794e-05
1.1,6,-2.7631595003185794e-05
1.1,7,-2.7631600460154004e-05
1.1,8,-2.7631600460154004e-05
1.1,9,-2.7631600460154004e-05
1.1500000000000001,1,0.0
1.1500000000000001,2,0.0
1.1500000000000001,3,0.0
1.1500000000000001,4,0.0
1.1500000000000001,5,0.0
1.1500000000000001,6,0.0
1.1500000000000001,7,0.0
1.1500000000000001,8,0.0
1.1500000000000001,9,0.0
1.1500000000000001,1,0.0
1.1500000000000001,2,0.0
1.1500000000000001,3,0.0
1.1500000000000001,4,0.0
1.1500000000000001,5,0.0
1.1500000000000001,6,0.0
1.1500000000000001,7,0.0
1.1500000000000001,8,0.0
1.1500000000000001,9,0.0
1.1500000000000001,1,-2.7631591365206987e-05
1.1500000000000001,2,-2.7631595003185794e-05
1.1500000000000001,3,-2.7631595003185794e-05
1.1500000000000001,4,-2.7631595003185794e-05
1.1500000000000001,5,-2.7631595003185794e-05
1.1500000000000001,6,-2.7631595003185794e-05
1.1500000000000001,7,-2.7631600460154004e-05
